#TYPE Microsoft.Azure.Commands.Profile.Models.PSAzureSubscription
"Id","Name","State","SubscriptionId","TenantId","HomeTenantId","ManagedByTenantIds","CurrentStorageAccountName","SubscriptionPolicies","ExtendedProperties","CurrentStorageAccount","AuthorizationSource","Tags"
"55f702f9-17ee-4d42-8da3-3f0bc97c4158","aa-ets-nonprod-isolated-1","Enabled","55f702f9-17ee-4d42-8da3-3f0bc97c4158","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","System.String[]",,"{
  ""LocationPlacementId"": ""Public_2014-09-01"",
  ""QuotaId"": ""EnterpriseAgreement_2014-09-01"",
  ""SpendingLimit"": ""Off""
}","System.Collections.Generic.Dictionary`2[System.String,System.String]",,"RoleBased",
"625bdeee-1ef9-4a36-b6f4-e228164906b6","aa-ct-SrvcRcvry-prod-spoke","Enabled","625bdeee-1ef9-4a36-b6f4-e228164906b6","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","System.String[]",,"{
  ""LocationPlacementId"": ""Public_2014-09-01"",
  ""QuotaId"": ""EnterpriseAgreement_2014-09-01"",
  ""SpendingLimit"": ""Off""
}","System.Collections.Generic.Dictionary`2[System.String,System.String]",,"RoleBased",
"62ec6e8b-3098-45f5-8fe8-2c68867c49ff","PSA Test","Enabled","62ec6e8b-3098-45f5-8fe8-2c68867c49ff","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","System.String[]",,"{
  ""LocationPlacementId"": ""Public_2014-09-01"",
  ""QuotaId"": ""EnterpriseAgreement_2014-09-01"",
  ""SpendingLimit"": ""Off""
}","System.Collections.Generic.Dictionary`2[System.String,System.String]",,"RoleBased",
"6ffe9a20-f3c5-4a9e-8e3a-666aaaec3bc0","aa-ct-SrvcRcvry-nonprod-spoke","Enabled","6ffe9a20-f3c5-4a9e-8e3a-666aaaec3bc0","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","System.String[]",,"{
  ""LocationPlacementId"": ""Public_2014-09-01"",
  ""QuotaId"": ""EnterpriseAgreement_2014-09-01"",
  ""SpendingLimit"": ""Off""
}","System.Collections.Generic.Dictionary`2[System.String,System.String]",,"RoleBased",
"8ac743df-669f-43b0-b197-9432f6684c74","aa-ets-nonprod-spoke","Enabled","8ac743df-669f-43b0-b197-9432f6684c74","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","System.String[]",,"{
  ""LocationPlacementId"": ""Public_2014-09-01"",
  ""QuotaId"": ""EnterpriseAgreement_2014-09-01"",
  ""SpendingLimit"": ""Off""
}","System.Collections.Generic.Dictionary`2[System.String,System.String]",,"RoleBased",
"8e5e91ba-9fca-4b3d-9858-4f6fcba19ee1","aa-ets-prod-spoke","Enabled","8e5e91ba-9fca-4b3d-9858-4f6fcba19ee1","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","System.String[]",,"{
  ""LocationPlacementId"": ""Public_2014-09-01"",
  ""QuotaId"": ""EnterpriseAgreement_2014-09-01"",
  ""SpendingLimit"": ""Off""
}","System.Collections.Generic.Dictionary`2[System.String,System.String]",,"RoleBased",
"91c1395e-45ac-46d3-9c2e-734822dc13e2","aa-ct-LoyaltyMT-nonprod-spoke","Enabled","91c1395e-45ac-46d3-9c2e-734822dc13e2","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","System.String[]",,"{
  ""LocationPlacementId"": ""Public_2014-09-01"",
  ""QuotaId"": ""EnterpriseAgreement_2014-09-01"",
  ""SpendingLimit"": ""Off""
}","System.Collections.Generic.Dictionary`2[System.String,System.String]",,"RoleBased",
"92e03da3-b0d4-43e1-bc06-38c0c1ccefd5","aa-gnd-nonprod2-spoke","Enabled","92e03da3-b0d4-43e1-bc06-38c0c1ccefd5","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","System.String[]",,"{
  ""LocationPlacementId"": ""Public_2014-09-01"",
  ""QuotaId"": ""EnterpriseAgreement_2014-09-01"",
  ""SpendingLimit"": ""Off""
}","System.Collections.Generic.Dictionary`2[System.String,System.String]",,"RoleBased",
"a5c4b39a-95c8-47ba-8798-b4f54bdf37cc","aa-corp-pci-prod-spoke","Enabled","a5c4b39a-95c8-47ba-8798-b4f54bdf37cc","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","System.String[]",,"{
  ""LocationPlacementId"": ""Public_2014-09-01"",
  ""QuotaId"": ""EnterpriseAgreement_2014-09-01"",
  ""SpendingLimit"": ""Off""
}","System.Collections.Generic.Dictionary`2[System.String,System.String]",,"RoleBased",
"ae0b13d9-e09c-4e54-b1e6-8e777d8fbe14","aa-ba-nonprod-spoke","Enabled","ae0b13d9-e09c-4e54-b1e6-8e777d8fbe14","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","System.String[]",,"{
  ""LocationPlacementId"": ""Public_2014-09-01"",
  ""QuotaId"": ""EnterpriseAgreement_2014-09-01"",
  ""SpendingLimit"": ""Off""
}","System.Collections.Generic.Dictionary`2[System.String,System.String]",,"RoleBased",
